Hit frequency;"=SUM(b2:b42)";
"Go";26742;"=b2/b$1"
"Mediterranean Avenue";26555;"=b3/b$1"
"Community Chest";26461;"=b4/b$1"
"Baltic Avenue";26864;"=b5/b$1"
"Income Tax";30828;"=b6/b$1"
"Reading Railroad";35198;"=b7/b$1"
"Oriental Avenue";28045;"=b8/b$1"
"Chance";13291;"=b9/b$1"
"Vermont Avenue";28811;"=b10/b$1"
"Connecticut Avenue";28771;"=b11/b$1"
"Just Visiting";28392;"=b12/b$1"
"In Jail";31345;"=b13/b$1"
"St. Charles Place";34160;"=b14/b$1"
"Electric Company";32537;"=b15/b$1"
"States Avenue";28873;"=b16/b$1"
"Verginia Avenue";29551;"=b17/b$1"
"Pennsylvania Railroad";33190;"=b18/b$1"
"St. James Place";32642;"=b19/b$1"
"Community Chest";33499;"=b20/b$1"
"Tennessee Avenue";33920;"=b21/b$1"
"New York Avenue";38154;"=b22/b$1"
"Free Parking";33287;"=b23/b$1"
"Kentucky Avenue";33261;"=b24/b$1"
"Chance";15295;"=b25/b$1"
"Indiana Avenue";32415;"=b26/b$1"
"Illinois Avenue";38649;"=b27/b$1"
"B & O Railroad";34553;"=b28/b$1"
"Atlantic Avenue";32780;"=b29/b$1"
"Ventinor Avenue";32070;"=b30/b$1"
"Waterworks";33611;"=b31/b$1"
"Marvin Gardens";30999;"=b32/b$1"
"Go To Jail";0;"=b33/b$1"
"Pacific Avenue";31631;"=b34/b$1"
"North Carolina Avenue";31258;"=b35/b$1"
"Community Chest";34292;"=b36/b$1"
"Pennsylvania Avenue";29722;"=b37/b$1"
"Short Line";29067;"=b38/b$1"
"Chance";12956;"=b39/b$1"
"Park Place";26380;"=b40/b$1"
"Luxury Tax";26827;"=b41/b$1"
"Boardwalk";32494;"=b42/b$1"
